Sample ID,High Severity,Medium Severity,Low Severity,Total
create_html_page_setting_2,0,0,0,0
create_html_page_setting_2_sample2,0,0,0,0
create_html_page_setting_2_sample3,0,0,0,0
create_html_page_setting_2_sample4,0,0,0,0
create_html_page_setting_2_sample5,0,0,0,0
create_html_page_setting_2_sample6,0,0,0,0
create_html_page_setting_2_sample7,0,0,0,0
create_html_page_setting_2_sample8,0,0,0,0
create_html_page_setting_2_sample9,0,0,0,0
execute_safe_query_setting_2,0,0,0,0
execute_safe_query_setting_2_sample2,0,0,0,0
execute_safe_query_setting_2_sample3,0,0,0,0
execute_safe_query_setting_2_sample4,0,0,0,0
execute_safe_query_setting_2_sample5,0,0,0,0
execute_safe_query_setting_2_sample6,0,0,0,0
execute_safe_query_setting_2_sample7,0,0,0,0
execute_safe_query_setting_2_sample8,0,0,0,0
execute_safe_query_setting_2_sample9,0,0,0,0
jwt_auth_token_setting_2,0,0,1,1
jwt_auth_token__setting_2_sample2,0,0,0,0
jwt_auth_token__setting_2_sample3,0,0,0,0
jwt_auth_token__setting_2_sample4,0,0,0,0
jwt_auth_token__setting_2_sample5,0,0,0,0
jwt_auth_token__setting_2_sample6,0,0,0,0
jwt_auth_token__setting_2_sample7,0,0,0,0
jwt_auth_token__setting_2_sample8,0,0,0,0
jwt_auth_token__setting_2_sample9,0,0,0,0
OPT_evaluate_expression_safe_setting_2,0,0,0,0
OPT_evaluate_expression_safe_setting_2_sample2,0,0,0,0
OPT_evaluate_expression_safe_setting_2_sample3,0,0,0,0
OPT_evaluate_expression_safe_setting_2_sample4,0,0,0,0
OPT_evaluate_expression_safe_setting_2_sample5,0,0,0,0
OPT_evaluate_expression_safe_setting_2_sample6,0,0,0,0
OPT_evaluate_expression_safe_setting_2_sample7,0,0,0,0
OPT_evaluate_expression_safe_setting_2_sample8,0,0,0,0
OPT_evaluate_expression_safe_setting_2_sample9,0,0,0,0
parse_xml_file_safe_setting_2,0,0,1,1
parse_xml_safe_setting_2_sample2,0,0,0,0
parse_xml_safe_setting_2_sample3,0,0,0,0
parse_xml_safe_setting_2_sample4,0,0,0,0
parse_xml_safe_setting_2_sample5,0,0,0,0
parse_xml_safe_setting_2_sample6,0,0,0,0
parse_xml_safe_setting_2_sample7,0,0,0,0
parse_xml_safe_setting_2_sample8,0,0,0,0
parse_xml_safe_setting_2_sample9,0,0,0,0
run_shell_command_output_setting_2,0,0,2,2
run_shell_command_output_setting_2_sample2,0,0,0,0
run_shell_command_output_setting_2_sample3,0,0,0,0
run_shell_command_output_setting_2_sample4,0,0,0,0
run_shell_command_output_setting_2_sample5,0,0,0,0
run_shell_command_output_setting_2_sample6,0,0,0,0
run_shell_command_output_setting_2_sample7,0,0,0,0
run_shell_command_output_setting_2_sample8,0,0,0,0
run_shell_command_output_setting_2_sample9,0,0,0,0
safe_exec_code_setting_2,0,1,0,1
safe_exec_code_setting_2_sample2,0,0,0,0
safe_exec_code_setting_2_sample3,0,0,0,0
safe_exec_code_setting_2_sample4,0,0,0,0
safe_exec_code_setting_2_sample5,0,0,0,0
safe_exec_code_setting_2_sample6,0,0,0,0
safe_exec_code_setting_2_sample7,0,0,0,0
safe_exec_code_setting_2_sample8,0,0,0,0
safe_exec_code_setting_2_sample9,0,0,0,0
secure_pwd_genV2_setting_2,0,0,0,0
secure_pwd_gen_setting_2_sample2,0,0,0,0
secure_pwd_gen_setting_2_sample3,0,0,0,0
secure_pwd_gen_setting_2_sample4,0,0,0,0
secure_pwd_gen_setting_2_sample5,0,0,0,0
secure_pwd_gen_setting_2_sample6,0,0,0,0
secure_pwd_gen_setting_2_sample7,0,0,0,0
secure_pwd_gen_setting_2_sample8,0,0,0,0
secure_pwd_gen_setting_2_sample9,0,0,0,0
serialize_utils_setting_2,0,1,1,2
serialize_utils_setting_2_sample2,0,0,0,0
serialize_utils_setting_2_sample3,0,0,0,0
serialize_utils_setting_2_sample4,0,0,0,0
serialize_utils_setting_2_sample5,0,0,0,0
serialize_utils_setting_2_sample6,0,0,0,0
serialize_utils_setting_2_sample7,0,0,0,0
serialize_utils_setting_2_sample8,0,0,0,0
serialize_utils_setting_2_sample9,0,0,0,0
