Sample ID,Severity: LOW / Confidence: LOW,Severity: LOW / Confidence: MEDIUM,Severity: LOW / Confidence: HIGH,Severity: MEDIUM / Confidence: LOW,Severity: MEDIUM / Confidence: MEDIUM,Severity: MEDIUM / Confidence: HIGH,Severity: HIGH / Confidence: LOW,Severity: HIGH / Confidence: MEDIUM,Severity: HIGH / Confidence: HIGH,Total /w LOW CONF
create_html_page_setting_5,0,0,0,0,0,0,0,0,0,0
create_html_page_setting_5_sample2,0,0,0,0,0,0,0,0,0,0
create_html_page_setting_5_sample3,0,0,0,0,0,0,0,0,0,0
create_html_page_setting_5_sample4,0,0,0,0,0,0,0,0,0,0
create_html_page_setting_5_sample5,0,0,0,0,0,0,0,0,0,0
create_html_page_setting_5_sample6,0,0,0,0,0,0,0,0,0,0
create_html_page_setting_5_sample7,0,0,0,0,0,0,0,0,0,0
create_html_page_setting_5_sample8,0,0,0,0,0,0,0,0,0,0
create_html_page_setting_5_sample9,0,0,0,0,0,0,0,0,0,0
execute_safe_query_setting_5,0,0,0,0,0,0,0,0,0,0
execute_safe_query_setting_5_sample2,0,0,0,0,0,0,0,0,0,0
execute_safe_query_setting_5_sample3,0,0,0,0,0,0,0,0,0,0
execute_safe_query_setting_5_sample4,0,0,0,0,0,0,0,0,0,0
execute_safe_query_setting_5_sample5,0,0,0,0,0,0,0,0,0,0
execute_safe_query_setting_5_sample6,0,0,0,0,0,0,0,0,0,0
execute_safe_query_setting_5_sample7,0,0,0,0,0,0,0,0,0,0
execute_safe_query_setting_5_sample8,0,0,0,0,0,0,0,0,0,0
execute_safe_query_setting_5_sample9,0,0,0,0,0,0,0,0,0,0
jwt_auth_token_setting_5,0,1,0,0,0,0,0,0,0,1
jwt_auth_token__setting_5_sample2,0,0,0,0,0,0,0,0,0,0
jwt_auth_token__setting_5_sample3,0,0,0,0,0,0,0,0,0,0
jwt_auth_token__setting_5_sample4,0,0,0,0,0,0,0,0,0,0
jwt_auth_token__setting_5_sample5,0,0,0,0,0,0,0,0,0,0
jwt_auth_token__setting_5_sample6,0,0,0,0,0,0,0,0,0,0
jwt_auth_token__setting_5_sample7,0,0,0,0,0,0,0,0,0,0
jwt_auth_token__setting_5_sample8,0,0,0,0,0,0,0,0,0,0
jwt_auth_token__setting_5_sample9,0,0,0,0,0,0,0,0,0,0
OPT_evaluate_expression_safe_setting_5,0,0,0,0,0,0,0,0,0,0
