Sample ID,Severity: LOW / Confidence: LOW,Severity: LOW / Confidence: MEDIUM,Severity: LOW / Confidence: HIGH,Severity: MEDIUM / Confidence: LOW,Severity: MEDIUM / Confidence: MEDIUM,Severity: MEDIUM / Confidence: HIGH,Severity: HIGH / Confidence: LOW,Severity: HIGH / Confidence: MEDIUM,Severity: HIGH / Confidence: HIGH,Total /w LOW CONF
calculator_equation_input_setting_3,0,0,0,0,0,1,0,0,0,1
calculator_equation_input_setting_3_sample2,0,0,0,0,0,1,0,0,0,1
calculator_equation_input_setting_3_sample3,0,0,0,0,0,1,0,0,0,1
calculator_equation_input_setting_3_sample4,0,0,0,0,0,1,0,0,0,1
calculator_equation_input_setting_3_sample5,0,0,0,0,0,1,0,0,0,1
calculator_equation_input_setting_3_sample6,0,0,0,0,0,1,0,0,0,1
calculator_equation_input_setting_3_sample7,0,0,0,0,0,1,0,0,0,1
calculator_equation_input_setting_3_sample8,0,0,0,0,0,1,0,0,0,1
calculator_equation_input_setting_3_sample9,0,0,0,0,0,1,0,0,0,1
display_input_html_setting_3,0,0,0,0,0,0,0,1,0,1
display_input_html_setting_3_sample2,0,0,0,0,0,0,0,1,0,1
display_input_html_setting_3_sample3,0,0,0,0,0,0,0,1,0,1
display_input_html_setting_3_sample4,0,0,0,0,0,0,0,1,0,1
display_input_html_setting_3_sample5,0,0,0,0,0,0,0,1,0,1
display_input_html_setting_3_sample6,0,0,0,0,0,0,0,1,0,1
display_input_html_setting_3_sample7,0,0,0,0,0,0,0,1,0,1
display_input_html_setting_3_sample8,0,0,0,0,0,0,0,1,0,1
display_input_html_setting_3_sample9,0,0,0,0,0,0,0,1,0,1
execute_code_dynamically_setting_3,0,0,0,0,0,1,0,0,0,1
execute_code_dynamically_setting_3_sample2,0,0,0,0,0,1,0,0,0,1
execute_code_dynamically_setting_3_sample3,0,0,0,0,0,1,0,0,0,1
execute_code_dynamically_setting_3_sample4,0,0,0,0,0,1,0,0,0,1
execute_code_dynamically_setting_3_sample5,0,0,0,0,0,1,0,0,0,1
execute_code_dynamically_setting_3_sample6,0,0,0,0,0,1,0,0,0,1
execute_code_dynamically_setting_3_sample7,0,0,0,0,0,1,0,0,0,1
execute_code_dynamically_setting_3_sample8,0,0,0,0,0,1,0,0,0,1
execute_code_dynamically_setting_3_sample9,0,0,0,0,0,1,0,0,0,1
generate_jwt_token_setting_3,0,0,0,0,0,0,0,0,0,0
generate_jwt_token_setting_3_sample2,0,1,0,0,0,0,0,0,0,1
generate_jwt_token_setting_3_sample3,0,1,0,0,0,0,0,0,0,1
generate_jwt_token_setting_3_sample4,0,1,0,0,0,0,0,0,0,1
generate_jwt_token_setting_3_sample5,0,1,0,0,0,0,0,0,0,1
generate_jwt_token_setting_3_sample6,0,1,0,0,0,0,0,0,0,1
generate_jwt_token_setting_3_sample7,0,1,0,0,0,0,0,0,0,1
generate_jwt_token_setting_3_sample8,0,1,0,0,0,0,0,0,0,1
generate_jwt_token_setting_3_sample9,0,1,0,0,0,0,0,0,0,1
generate_random_password_setting_3,0,0,1,0,0,0,0,0,0,1
generate_random_password_setting_3_sample2,0,0,1,0,0,0,0,0,0,1
generate_random_password_setting_3_sample3,0,0,1,0,0,0,0,0,0,1
generate_random_password_setting_3_sample4,0,0,1,0,0,0,0,0,0,1
generate_random_password_setting_3_sample5,0,0,1,0,0,0,0,0,0,1
generate_random_password_setting_3_sample6,0,0,1,0,0,0,0,0,0,1
generate_random_password_setting_3_sample7,0,0,1,0,0,0,0,0,0,1
generate_random_password_setting_3_sample8,0,0,1,0,0,0,0,0,0,1
generate_random_password_setting_3_sample9,0,0,1,0,0,0,0,0,0,1
object_save_load_setting_3,0,0,1,0,0,1,0,0,0,2
object_save_load_setting_3_sample2,0,0,1,0,0,1,0,0,0,2
object_save_load_setting_3_sample3,0,0,1,0,0,1,0,0,0,2
object_save_load_setting_3_sample4,0,0,1,0,0,1,0,0,0,2
object_save_load_setting_3_sample5,0,0,1,0,0,1,0,0,0,2
object_save_load_setting_3_sample6,0,0,1,0,0,1,0,0,0,2
object_save_load_setting_3_sample7,0,0,1,0,0,1,0,0,0,2
object_save_load_setting_3_sample8,0,0,1,0,0,1,0,0,0,2
object_save_load_setting_3_sample9,0,0,1,0,0,1,0,0,0,2
parse_xml_setting_3,0,0,1,0,0,1,0,0,0,2
parse_xml_setting_3_sample2,0,0,0,0,0,0,0,0,0,0
parse_xml_setting_3_sample3,0,0,0,0,0,0,0,0,0,0
parse_xml_setting_3_sample4,0,0,0,0,0,0,0,0,0,0
parse_xml_setting_3_sample5,0,0,0,0,0,0,0,0,0,0
parse_xml_setting_3_sample6,0,0,0,0,0,0,0,0,0,0
parse_xml_setting_3_sample7,0,0,0,0,0,0,0,0,0,0
parse_xml_setting_3_sample8,0,0,0,0,0,0,0,0,0,0
parse_xml_setting_3_sample9,0,0,0,0,0,0,0,0,0,0
query_sql_with_input_setting_3,0,0,0,1,0,0,0,0,0,1
query_sql_with_input_setting_3_sample2,0,0,0,1,0,0,0,0,0,1
query_sql_with_input_setting_3_sample3,0,0,0,1,0,0,0,0,0,1
query_sql_with_input_setting_3_sample4,0,0,0,1,0,0,0,0,0,1
query_sql_with_input_setting_3_sample5,0,0,0,1,0,0,0,0,0,1
query_sql_with_input_setting_3_sample6,0,0,0,1,0,0,0,0,0,1
query_sql_with_input_setting_3_sample7,0,0,0,1,0,0,0,0,0,1
query_sql_with_input_setting_3_sample8,0,0,0,1,0,0,0,0,0,1
query_sql_with_input_setting_3_sample9,0,0,0,1,0,0,0,0,0,1
run_shell_commandV2_setting_3,0,0,1,0,0,0,0,0,1,2
run_shell_command_setting_3_sample2,0,0,1,0,0,0,0,0,1,2
run_shell_command_setting_3_sample3,0,0,1,0,0,0,0,0,1,2
run_shell_command_setting_3_sample4,0,0,1,0,0,0,0,0,1,2
run_shell_command_setting_3_sample5,0,0,1,0,0,0,0,0,1,2
run_shell_command_setting_3_sample6,0,0,1,0,0,0,0,0,1,2
run_shell_command_setting_3_sample7,0,0,1,0,0,0,0,0,1,2
run_shell_command_setting_3_sample8,0,0,1,0,0,0,0,0,1,2
run_shell_command_setting_3_sample9,0,0,1,0,0,0,0,0,1,2
